Middle East and North Africa,Syria,Snacks,Online,C,1/2/2015,783510863,2/15/2015,7131,152.58,97.44,1088047.98,694844.64,393203.34
Europe,Cyprus,Vegetables,Online,C,11/5/2012,549330842,11/30/2012,8058,154.06,90.93,1241415.48,732713.94,508701.54
Central America and the Caribbean,Saint Kitts and Nevis ,Personal Care,Online,C,8/13/2010,580539309,9/4/2010,3337,81.73,56.67,272733.01,189107.79,83625.22
Europe,Serbia,Beverages,Online,M,4/30/2013,438122594,6/3/2013,9066,47.45,31.79,430181.70,288208.14,141973.56
Europe,United Kingdom,Snacks,Online,M,9/16/2015,653379523,11/1/2015,8375,152.58,97.44,1277857.50,816060.00,461797.50
Europe,Bulgaria,Office Supplies,Offline,C,7/18/2013,477921426,7/25/2013,6425,651.21,524.96,4184024.25,3372868.00,811156.25
Sub-Saharan Africa,Mali,Cosmetics,Offline,C,1/18/2015,133672130,1/25/2015,5408,437.20,263.33,2364377.60,1424088.64,940288.96
Sub-Saharan Africa,Sao Tome and Principe,Baby Food,Online,L,5/9/2014,362867963,6/26/2014,9549,255.28,159.42,2437668.72,1522301.58,915367.14
Sub-Saharan Africa,Botswana,Cosmetics,Online,H,6/10/2010,178057754,6/27/2010,101,437.20,263.33,44157.20,26596.33,17560.87
Europe,Liechtenstein,Meat,Online,C,12/6/2010,912102830,12/24/2010,351,421.89,364.69,148083.39,128006.19,20077.20
Central America and the Caribbean,Antigua and Barbuda ,Cosmetics,Online,C,2/25/2013,368177020,4/9/2013,617,437.20,263.33,269752.40,162474.61,107277.79
Europe,United Kingdom,Clothes,Online,M,7/1/2015,469766652,8/15/2015,3246,109.28,35.84,354722.88,116336.64,238386.24
Asia,Taiwan,Cereal,Online,L,8/19/2013,510670554,9/4/2013,7620,205.70,117.11,1567434.00,892378.20,675055.80
Asia,Bhutan,Beverages,Online,L,11/14/2011,305000054,11/28/2011,5149,47.45,31.79,244320.05,163686.71,80633.34
Europe,Austria,Snacks,Online,C,10/17/2011,637178981,11/20/2011,4275,152.58,97.44,652279.50,416556.00,235723.50
Sub-Saharan Africa,Zambia,Vegetables,Offline,L,1/20/2016,111943662,2/20/2016,5472,154.06,90.93,843016.32,497568.96,345447.36
Middle East and North Africa,Syria,Beverages,Offline,M,1/2/2017,104342925,1/3/2017,6245,47.45,31.79,296325.25,198528.55,97796.70
North America,Canada,Snacks,Online,L,8/26/2015,709738099,8/31/2015,6130,152.58,97.44,935315.40,597307.20,338008.20
Europe,Macedonia,Meat,Offline,H,4/4/2010,293803012,5/14/2010,1695,421.89,364.69,715103.55,618149.55,96954.00
Europe,Malta,Cereal,Offline,H,4/23/2015,442523992,5/7/2015,1538,205.70,117.11,316366.60,180115.18,136251.42
Europe,Russia,Clothes,Offline,M,4/11/2012,112199866,5/11/2012,1289,109.28,35.84,140861.92,46197.76,94664.16
Europe,Ireland,Meat,Online,M,12/27/2013,579441964,2/13/2014,8609,421.89,364.69,3632051.01,3139616.21,492434.80
Europe,France,Vegetables,Online,M,5/29/2015,491174113,6/15/2015,8190,154.06,90.93,1261751.40,744716.70,517034.70
Europe,Portugal,Cosmetics,Offline,H,7/21/2012,814632642,7/25/2012,6757,437.20,263.33,2954160.40,1779320.81,1174839.59
Middle East and North Africa,Libya,Snacks,Offline,M,11/17/2013,787366378,11/26/2013,8063,152.58,97.44,1230252.54,785658.72,444593.82
Australia and Oceania,New Zealand,Baby Food,Online,M,10/1/2013,167236649,11/19/2013,7896,255.28,159.42,2015690.88,1258780.32,756910.56
Europe,Serbia,Meat,Online,C,5/22/2011,582417285,6/17/2011,9072,421.89,364.69,3827386.08,3308467.68,518918.40
Europe,Monaco,Clothes,Offline,C,8/26/2014,581394612,9/2/2014,6441,109.28,35.84,703872.48,230845.44,473027.04
Sub-Saharan Africa,Sao Tome and Principe,Office Supplies,Online,L,7/12/2013,582967460,8/30/2013,1881,651.21,524.96,1224926.01,987449.76,237476.25
Sub-Saharan Africa,Burkina Faso,Clothes,Online,H,3/23/2014,626247155,4/10/2014,9305,109.28,35.84,1016850.40,333491.20,683359.20
Middle East and North Africa,Saudi Arabia,Vegetables,Online,M,8/21/2012,820657527,9/12/2012,9654,154.06,90.93,1487295.24,877838.22,609457.02
Sub-Saharan Africa,Eritrea,Cosmetics,Online,C,4/27/2013,895934903,5/29/2013,5902,437.20,263.33,2580354.40,1554173.66,1026180.74
Sub-Saharan Africa,Mauritania,Household,Online,C,7/9/2010,652128112,7/13/2010,8055,668.27,502.54,5382914.85,4047959.70,1334955.15
Australia and Oceania,Kiribati,Beverages,Offline,H,9/12/2014,409598481,9/23/2014,8148,47.45,31.79,386622.60,259024.92,127597.68
Asia,Bhutan,Beverages,Offline,M,11/15/2010,559019839,11/29/2010,5248,47.45,31.79,249017.60,166833.92,82183.68
Sub-Saharan Africa,Malawi,Personal Care,Offline,C,6/4/2015,211378514,7/9/2015,455,81.73,56.67,37187.15,25784.85,11402.30
Europe,Slovenia,Beverages,Online,M,9/18/2011,347973334,10/23/2011,1897,47.45,31.79,90012.65,60305.63,29707.02
Asia,Vietnam,Personal Care,Online,M,6/19/2014,670415627,7/28/2014,9737,81.73,56.67,795805.01,551795.79,244009.22
Middle East and North Africa,Lebanon,Meat,Offline,M,12/14/2012,950629222,12/24/2012,1167,421.89,364.69,492345.63,425593.23,66752.40
Asia,Brunei,Cosmetics,Offline,H,9/4/2012,580850446,9/29/2012,5410,437.20,263.33,2365252.00,1424615.30,940636.70
Europe,Bosnia and Herzegovina,Fruits,Offline,M,5/26/2016,823628127,7/13/2016,8721,9.33,6.92,81366.93,60349.32,21017.61
Sub-Saharan Africa,Comoros,Cereal,Online,M,10/23/2012,761823594,10/29/2012,9386,205.70,117.11,1930700.20,1099194.46,831505.74
Middle East and North Africa,Saudi Arabia,Vegetables,Online,C,8/8/2010,448610675,8/25/2010,2723,154.06,90.93,419505.38,247602.39,171902.99
Sub-Saharan Africa,Kenya,Cosmetics,Offline,M,12/11/2011,457475697,12/20/2011,6080,437.20,263.33,2658176.00,1601046.40,1057129.60
Central America and the Caribbean,Trinidad and Tobago,Beverages,Offline,M,4/17/2016,532217490,4/17/2016,3837,47.45,31.79,182065.65,121978.23,60087.42
Asia,Indonesia,Household,Offline,C,8/9/2016,936947381,9/1/2016,2406,668.27,502.54,1607857.62,1209111.24,398746.38
Europe,Spain,Household,Offline,M,9/3/2010,206089198,10/17/2010,5228,668.27,502.54,3493715.56,2627279.12,866436.44
Europe,Ukraine,Snacks,Online,H,7/6/2012,994379270,8/22/2012,7778,152.58,97.44,1186767.24,757888.32,428878.92
Australia and Oceania,Marshall Islands,Cosmetics,Offline,C,9/9/2010,626866424,9/11/2010,2560,437.20,263.33,1119232.00,674124.80,445107.20
North America,Canada,Meat,Online,L,7/24/2017,548911988,9/8/2017,4110,421.89,364.69,1733967.90,1498875.90,235092.00
Europe,Luxembourg,Household,Offline,L,6/19/2012,476189792,8/6/2012,3996,668.27,502.54,2670406.92,2008149.84,662257.08
Central America and the Caribbean,Jamaica,Vegetables,Online,L,9/4/2013,644686162,10/18/2013,5817,154.06,90.93,896167.02,528939.81,367227.21
Central America and the Caribbean,Cuba,Fruits,Offline,C,1/8/2014,460699927,1/18/2014,201,9.33,6.92,1875.33,1390.92,484.41
Central America and the Caribbean,El Salvador,Clothes,Online,M,12/20/2014,750842416,1/21/2015,9811,109.28,35.84,1072146.08,351626.24,720519.84
Europe,Iceland,Personal Care,Offline,C,4/7/2015,612037456,5/13/2015,4339,81.73,56.67,354626.47,245891.13,108735.34
Europe,Sweden,Baby Food,Online,C,9/21/2014,561521375,9/30/2014,5508,255.28,159.42,1406082.24,878085.36,527996.88
Australia and Oceania,Samoa ,Vegetables,Online,H,6/6/2010,286843001,7/7/2010,2073,154.06,90.93,319366.38,188497.89,130868.49
Central America and the Caribbean,Saint Vincent and the Grenadines,Clothes,Offline,L,9/10/2015,895863664,10/21/2015,4821,109.28,35.84,526838.88,172784.64,354054.24
Sub-Saharan Africa,Madagascar,Household,Online,L,10/15/2010,866757190,10/31/2010,1569,668.27,502.54,1048515.63,788485.26,260030.37
Central America and the Caribbean,Costa Rica,Snacks,Offline,C,12/10/2014,998009908,12/11/2014,2165,152.58,97.44,330335.70,210957.60,119378.10
Europe,Vatican City,Personal Care,Online,L,5/10/2014,358420646,6/3/2014,3489,81.73,56.67,285155.97,197721.63,87434.34
Asia,Mongolia,Household,Online,H,6/12/2011,337100732,7/11/2011,4453,668.27,502.54,2975806.31,2237810.62,737995.69
Asia,Mongolia,Baby Food,Offline,C,6/22/2013,593473994,8/10/2013,998,255.28,159.42,254769.44,159101.16,95668.28
Middle East and North Africa,Qatar,Vegetables,Offline,L,8/17/2013,407276761,9/12/2013,1099,154.06,90.93,169311.94,99932.07,69379.87
Central America and the Caribbean,Saint Lucia,Vegetables,Offline,C,7/7/2017,928557860,8/23/2017,9760,154.06,90.93,1503625.60,887476.80,616148.80
Europe,Croatia,Household,Online,C,8/31/2016,227678620,9/5/2016,4018,668.27,502.54,2685108.86,2019205.72,665903.14
Central America and the Caribbean,Panama,Beverages,Online,L,1/13/2015,945312869,2/20/2015,7940,47.45,31.79,376753.00,252412.60,124340.40
Sub-Saharan Africa,Sudan,Meat,Offline,M,1/24/2010,842446935,3/8/2010,7624,421.89,364.69,3216489.36,2780396.56,436092.80
Sub-Saharan Africa,Djibouti,Clothes,Online,M,8/16/2011,450379645,8/21/2011,6200,109.28,35.84,677536.00,222208.00,455328.00
Sub-Saharan Africa,Eritrea,Cereal,Offline,C,7/3/2015,820722329,7/30/2015,8830,205.70,117.11,1816331.00,1034081.30,782249.70
Sub-Saharan Africa,Sierra Leone,Household,Offline,C,10/7/2014,375398814,11/20/2014,7706,668.27,502.54,5149688.62,3872573.24,1277115.38
Australia and Oceania,Marshall Islands,Personal Care,Online,C,2/13/2011,756645429,2/21/2011,7052,81.73,56.67,576359.96,399636.84,176723.12
Middle East and North Africa,Libya,Cereal,Online,M,2/12/2011,977011001,2/22/2011,8121,205.70,117.11,1670489.70,951050.31,719439.39
Sub-Saharan Africa,Kenya,Baby Food,Offline,M,10/24/2014,569356858,10/25/2014,4202,255.28,159.42,1072686.56,669882.84,402803.72
